WORD,FREQUENCY,RANK,PROBABILITY,Constant
30,736,365,0.00033466654298555296,0.12215328818972683
sight,736,366,0.00033466654298555296,0.12248795473271239
heaven,732,367,0.00033284770307802277,0.12215510702963435
dead,732,368,0.00033284770307802277,0.12248795473271237
whose,730,369,0.0003319382831242577,0.1224852264728511
31,726,370,0.0003301194432167275,0.12214419399018918
almost,726,371,0.0003301194432167275,0.12247431343340591
turned,724,372,0.00032921002326296244,0.12246612865382203
ship,723,373,0.0003287553132860799,0.1226257318557078
find,720,374,0.00032739118335543225,0.12244430257493166
room,714,375,0.000324662923494137,0.12174859631030137
wife,713,376,0.0003242082135172544,0.12190228828248767
law,713,377,0.0003242082135172544,0.12222649649600492
blood,710,378,0.0003228440835866068,0.12203506359573736
Why,707,379,0.00032147995365595916,0.12184090243560852
friend,706,380,0.0003210252436790766,0.1219895925980491
priest,701,381,0.0003187516937946639,0.12144439533576695
gone,698,382,0.00031738756386401627,0.12124204939605422
don,693,383,0.0003151140139796035,0.12068866735418815
having,692,384,0.000314659304002721,0.12082917273704487
Elinor,684,385,0.0003110216241876606,0.11974332531224934
get,681,386,0.000309657494257013,0.11952779278320702
home,679,387,0.00030874807430324793,0.11948550475535695
keep,678,388,0.00030829336432636537,0.11961782535862976
ll,675,389,0.00030692923439571774,0.1193954721799342
new,675,390,0.00030692923439571774,0.11970240141432992
hope,666,391,0.00030283684460377484,0.11840920624007596
white,660,392,0.00030010858474247953,0.11764256521905198
few,657,393,0.0002987444548118319,0.11740657074104993
really,656,394,0.0002982897448349494,0.11752615946497005
dear,654,395,0.00029738032488118427,0.11746522832806779
32,654,396,0.00029738032488118427,0.11776260865294896
spake,654,397,0.00029738032488118427,0.11805998897783015
gold,653,398,0.00029692561490430176,0.1181763947319121
Who,652,399,0.0002964709049274192,0.11829189106604027
believe,644,400,0.0002928332251123588,0.11713329004494352
taken,643,401,0.0002923785151354763,0.11724378456932599
Father,641,402,0.0002914690951817112,0.1171705762630479
stand,638,403,0.00029010496525106355,0.11691230099617861
none,633,404,0.00028783141536665085,0.11628389180812694
Marianne,632,405,0.0002873767053897683,0.11638756568285616
Egypt,632,406,0.0002873767053897683,0.11667494238824593
art,630,407,0.0002864672854360032,0.11659218517245332
Behold,629,408,0.00028601257545912066,0.11669313078732123
mouth,627,409,0.0002851031555053556,0.11660719060169043
call,618,410,0.00028101076571341265,0.11521441394249919
fear,617,411,0.00028055605573653014,0.11530853890771389
known,614,412,0.0002791919258058825,0.11502707343202359
sword,608,413,0.00027646366594458725,0.11417949403511453
year,606,414,0.0002755542459908221,0.11407945784020036
felt,605,415,0.00027509953601393956,0.11416630744578492
feet,605,416,0.00027509953601393956,0.11444140698179886
four,602,417,0.00027373540608329193,0.11414766433673273
air,602,418,0.00027373540608329193,0.11442139974281602
servant,601,419,0.0002732806961064094,0.11450461166858555
33,597,420,0.00027146185619887923,0.11401397960352928
strong,596,421,0.00027100714622199667,0.1140940085594606
present,596,422,0.00027100714622199667,0.1143650157056826
Ahab,595,423,0.00027055243624511416,0.11444368053168329
near,594,424,0.0002700977262682316,0.1145214359377302
Christ,594,425,0.0002700977262682316,0.11479153366399843
sister,592,426,0.00026918830631446653,0.11467421848996275
asked,591,427,0.00026873359633758397,0.11474924563614836
sort,590,428,0.0002682788863607014,0.1148233633623802
Thus,588,429,0.00026736946640693634,0.11470150108857569
peace,585,430,0.0002660053364762887,0.11438229468480414
however,584,431,0.00026555062649940615,0.11445232002124404
servants,579,432,0.00026327707661499345,0.11373569709767717
Well,579,433,0.00026327707661499345,0.11399897417429217
within,577,434,0.0002623676566612283,0.11386756299097309
best,574,435,0.0002610035267305807,0.1135365341278026
power,574,436,0.0002610035267305807,0.11379753765453318
does,573,437,0.00026054881675369813,0.11385983292136609
cast,573,438,0.00026054881675369813,0.11412038173811978
fathers,571,439,0.00025963939679993307,0.11398169519517061
looking,567,440,0.0002578205568924029,0.11344104503265727
why,567,441,0.0002578205568924029,0.11369886558954967
brethren,566,442,0.00025736584691552037,0.11375570433666
five,564,443,0.00025645642696175524,0.11361019714405757
Anne,556,444,0.0002528187471466949,0.11225152373313255
small,555,445,0.00025236403716981235,0.1123019965405665
Captain,555,446,0.00025236403716981235,0.11255436057773631
sat,554,447,0.0002519093271929298,0.11260346925523962
daughter,552,448,0.0002509999072391647,0.1124479584431458
mean,547,449,0.00024872635735475197,0.11167813445228364
34,545,450,0.0002478169374009869,0.1115176218304441
Turnbull,544,451,0.00024736222742410434,0.11156036456827105
Sir,543,452,0.00024690751744722183,0.11160219788614427
else,541,453,0.0002459980974934567,0.11143713816453589
want,538,454,0.0002446339675628091,0.11106382127351531
whether,538,455,0.0002446339675628091,0.11130845524107813
open,538,456,0.0002446339675628091,0.11155308920864093
happy,537,457,0.00024417925758592657,0.11158992071676845
live,536,458,0.000243724547609044,0.11162584280494216
seven,535,459,0.00024326983763216145,0.11166085547316211
turn,533,460,0.00024236041767839638,0.11148579213206233
cut,533,461,0.00024236041767839638,0.11172815254974074
next,532,462,0.00024190570770151381,0.11176043695809938
return,532,463,0.00024190570770151381,0.11200234266580089
fell,528,464,0.00024008686779398365,0.11140030665640842
child,525,465,0.00023872273786333602,0.11100607310645125
holy,524,466,0.00023826802788645346,0.11103290099508731
above,523,467,0.00023781331790957092,0.11105881946376962
sun,523,468,0.00023781331790957092,0.11129663278167919
cities,518,469,0.0002355397680251582,0.1104681512037992
At,517,470,0.00023508505804827566,0.11048997728268956
Syme,515,471,0.00023417563809451057,0.11029672554251448
certain,513,472,0.00023326621814074547,0.11010165496243186
least,512,473,0.00023281150816386294,0.11011984336150717
glory,511,474,0.00023235679818698037,0.1101371223406287
flesh,510,475,0.00023190208821009784,0.11015349189979648
Yes,510,476,0.00023190208821009784,0.11038539398800658
ground,509,477,0.00023144737823321528,0.1104003994172437
manner,509,478,0.00023144737823321528,0.1106318467954769
coming,509,479,0.00023144737823321528,0.11086329417371012
hold,507,480,0.0002305379582794502,0.11065821997413611
truth,506,481,0.00023008324830256765,0.11067004243353504
Harriet,506,482,0.00023008324830256765,0.1109001256818376
spirit,505,483,0.0002296285383256851,0.11091058401130591
King,505,484,0.0002296285383256851,0.11114021254963159
passed,504,485,0.00022917382834880258,0.11114930674916924
perhaps,503,486,0.00022871911837192002,0.11115749152875312
sir,502,487,0.00022826440839503748,0.11116476688838325
Not,502,488,0.00022826440839503748,0.11139303129677829
cause,500,489,0.00022735498844127239,0.1111765893477822
sin,496,490,0.00022553614853374222,0.11051271278153368
afraid,495,491,0.00022508143855685966,0.1105149863314181
wish,494,492,0.00022462672857997713,0.11051635046134875
leave,493,493,0.00022417201860309456,0.11051680517132562
got,491,494,0.0002232625986493295,0.11029172373276877
matter,491,495,0.0002232625986493295,0.1105149863314181
since,490,496,0.00022280788867244693,0.11051271278153368
walk,489,497,0.0002223531786955644,0.11050952981169551
evening,487,498,0.0002214437587417993,0.11027899185341605
eye,484,499,0.00022007962881115167,0.10981973477676468
commanded,484,500,0.00022007962881115167,0.11003981440557584
lay,483,501,0.00021962491883426914,0.11003208433596884
By,483,502,0.00021962491883426914,0.11025170925480311
Therefore,482,503,0.00021917020885738658,0.11024261505526545
until,481,504,0.00021871549888050404,0.11023261143577404
replied,481,505,0.00021871549888050404,0.11045132693465454
boy,480,506,0.00021826078890362148,0.11043995918523247
John,479,507,0.00021780607892673895,0.11042768201585665
family,478,508,0.0002173513689498564,0.11041449542652705
fall,478,509,0.0002173513689498564,0.11063184679547691
36,477,510,0.00021689665897297385,0.11061729607621666
alone,477,511,0.00021689665897297385,0.11083419273518964
m,473,512,0.00021507781906544368,0.11011984336150717
others,473,513,0.00021507781906544368,0.11033492118057261
kind,472,514,0.00021462310908856112,0.11031627807152042
less,471,515,0.0002141683991116786,0.11029672554251448
true,470,516,0.00021371368913479605,0.11027626359355476
answer,465,517,0.00021144013925038333,0.10931455199244818
die,465,518,0.00021144013925038333,0.10952599213169856
Is,465,519,0.00021144013925038333,0.10973743227094895
35,462,520,0.0002100760093197357,0.10923952484626256
towards,461,521,0.00020962129934285314,0.10921269695762649
behind,461,522,0.00020962129934285314,0.10942231825696934
times,460,523,0.0002091665893659706,0.10939412623840263
twenty,459,524,0.00020871187938908804,0.10936502479988214
toward,455,525,0.00020689303948155787,0.10861884572781788
tree,455,526,0.00020689303948155787,0.10882573876729944
hour,454,527,0.00020643832950467534,0.1087929996489639
bread,454,528,0.00020643832950467534,0.10899943797846857
ten,454,529,0.00020643832950467534,0.10920587630797325
Heaven,453,530,0.00020598361952779278,0.10917131834973018
drink,453,531,0.00020598361952779278,0.10937730196925796
black,450,532,0.00020461948959714515,0.10885756846568122
midst,449,533,0.0002041647796202626,0.10881982753759997
These,446,534,0.00020280064968961498,0.1082955469342544
along,445,535,0.00020234593971273242,0.10825507774631185
waters,442,536,0.0002009818097820848,0.10772625004319744
